id,privacy_api_class,privacy_api_method,privacy_api,description
193,android.accounts.AccountManager,getAccountsByTypeAndFeatures,Landroid/accounts/AccountManager;.getAccountsByTypeAndFeatures:(Ljava/lang/String;[Ljava/lang/String;Landroid/accounts/AccountManagerCallback;Landroid/os/Handler;)Landroid/accounts/AccountManagerFuture;,Allows access to the list of accounts in the Accounts Service
194,android.accounts.AccountManager,getAccountsByTypeForPackage,Landroid/accounts/AccountManager;.getAccountsByTypeForPackage:(Ljava/lang/String;Ljava/lang/String;)[Landroid/accounts/Account;,Allows access to the list of accounts in the Accounts Service
195,android.accounts.AccountManager,getAccountsForPackage,,Allows access to the list of accounts in the Accounts Service
196,android.bluetooth.BluetoothHeadset,getActiveDevice,,Required to be able to connect to paired Bluetooth devices.
197,android.bluetooth.BluetoothLeAudio,getActiveDevices,,Required to be able to connect to paired Bluetooth devices.
198,android.telephony.SubscriptionManager,getActiveSubscriptionInfo,Landroid/telephony/SubscriptionManager;.getActiveSubscriptionInfo:(I)Landroid/telephony/SubscriptionInfo;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
199,android.telephony.SubscriptionManager,getActiveSubscriptionInfoCount,Landroid/telephony/SubscriptionManager;.getActiveSubscriptionInfoCount:()I,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
200,android.telephony.SubscriptionManager,getActiveSubscriptionInfoForSimSlotIndex,Landroid/telephony/SubscriptionManager;.getActiveSubscriptionInfoForSimSlotIndex:(I)Landroid/telephony/SubscriptionInfo;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
201,android.telephony.SubscriptionManager,getActiveSubscriptionInfoList,Landroid/telephony/SubscriptionManager;.getActiveSubscriptionInfoList:()Ljava/util/List;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
202,android.bluetooth.BluetoothDevice,getAlias,Landroid/bluetooth/BluetoothDevice;.getAlias:()Ljava/lang/String;,Required to be able to connect to paired Bluetooth devices.
203,android.telephony.TelephonyManager,getAllCellInfo,Landroid/telephony/TelephonyManager;.getAllCellInfo:()Ljava/util/List;,"Allows an app to access approximate location. Alternatively, you might  want ACCESS_FINE_LOCATION"
204,android.media.ExifInterface,getAltitude,Landroid/media/ExifInterface;.getAltitude:(D)D,Allows an application  to access any geographic locations persisted in the user's shared collection
205,android.media.ExifInterface,getAttribute,Landroid/media/ExifInterface;.getAttribute:(Ljava/lang/String;)Ljava/lang/String;,Allows an application  to access any geographic locations persisted in the user's shared collection
206,android.media.ExifInterface,getAttributeBytes,Landroid/media/ExifInterface;.getAttributeBytes:(Ljava/lang/String;)[B,Allows an application  to access any geographic locations persisted in the user's shared collection
