id,privacy_api_class,privacy_api_method,privacy_api,description
291,android.bluetooth.BluetoothAdapter,getMaxConnectedAudioDevices,,Required to be able to connect to paired Bluetooth devices.
292,android.media.projection.MediaProjectionManager,getMediaProjection,Landroid/media/projection/MediaProjectionManager;.getMediaProjection:(ILandroid/content/Intent;)Landroid/media/projection/MediaProjection;,
293,android.telephony.TelephonyManager,getMeid,Landroid/telephony/TelephonyManager;.getMeid:()Ljava/lang/String;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
294,android.telephony.TelephonyManager,getMeid,Landroid/telephony/TelephonyManager;.getMeid:(I)Ljava/lang/String;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
295,android.telephony.TelephonyManager,getMsisdn,,Allows read access to the device's phone number(s). This is a subset of the capabilities granted by READ_PHONE_STATE but is exposed to instant applications
296,android.bluetooth.BluetoothAdapter,getName,Landroid/bluetooth/BluetoothAdapter;.getName:()Ljava/lang/String;,Required to be able to connect to paired Bluetooth devices.
297,android.bluetooth.BluetoothDevice,getName,Landroid/bluetooth/BluetoothDevice;.getName:()Ljava/lang/String;,Required to be able to connect to paired Bluetooth devices.
298,android.telephony.TelephonyManager,getNeighboringCellInfo,,"Allows an app to access approximate location. Alternatively, you might  want ACCESS_FINE_LOCATION"
299,android.telephony.TelephonyManager,getNetworkType,Landroid/telephony/TelephonyManager;.getNetworkType:()I,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
300,android.telephony.TelephonyManager,getNumberOfModemsWithSimultaneousDataConnections,,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
301,android.telephony.SubscriptionManager,getOpportunisticSubscriptions,Landroid/telephony/SubscriptionManager;.getOpportunisticSubscriptions:()Ljava/util/List;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
302,android.bluetooth.le.AdvertisingSet,getOwnAddress,,Required to be able to advertise to nearby Bluetooth devices.
303,android.content.pm.PackageManager,getPackagesForUid,Landroid/content/pm/PackageManager;.getPackagesForUid:(I)[Ljava/lang/String;,"Allows query of any normal app on the device, regardless of manifest declarations."
304,android.telecom.TelecomManager,getPhoneAccountsSupportingScheme,,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
305,android.content.ClipboardManager,getPrimaryClip,Landroid/content/ClipboardManager;.getPrimaryClip:()Landroid/content/ClipData;,
306,android.bluetooth.BluetoothAdapter,getProfileConnectionState,Landroid/bluetooth/BluetoothAdapter;.getProfileConnectionState:(I)I,Required to be able to connect to paired Bluetooth devices.
307,android.telephony.SubscriptionManager,getResourcesForSubId,,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
308,android.bluetooth.BluetoothAdapter,getScanMode,Landroid/bluetooth/BluetoothAdapter;.getScanMode:()I,Required to be able to discover and pair nearby Bluetooth devices.
309,android.net.wifi.WifiManager,getScanResults,Landroid/net/wifi/WifiManager;.getScanResults:()Ljava/util/List;,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
310,android.telecom.TelecomManager,getSelfManagedPhoneAccounts,Landroid/telecom/TelecomManager;.getSelfManagedPhoneAccounts:()Ljava/util/List;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
311,android.hardware.SensorManager,getSensorList,Landroid/hardware/SensorManager;.getSensorList:(I)Ljava/util/List;,
312,android.telephony.TelephonyManager,getServiceState,Landroid/telephony/TelephonyManager;.getServiceState:()Landroid/telephony/ServiceState;,"Allows an app to access approximate location. Alternatively, you might  want ACCESS_FINE_LOCATION"
313,android.telephony.TelephonyManager,getSimSerialNumber,Landroid/telephony/TelephonyManager;.getSimSerialNumber:()Ljava/lang/String;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
314,android.bluetooth.BluetoothMap,getState,,Required to be able to connect to paired Bluetooth devices.
315,android.provider.Settings$Secure,getString,Landroid/provider/Settings$Secure;.getString:(Landroid/content/ContentResolver;Ljava/lang/String;)Ljava/lang/String;,
316,android.telephony.TelephonyManager,getSubscriberId,Landroid/telephony/TelephonyManager;.getSubscriberId:()Ljava/lang/String;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
317,android.telephony.SubscriptionManager,getSubscriptionsInGroup,Landroid/telephony/SubscriptionManager;.getSubscriptionsInGroup:(Landroid/os/ParcelUuid;)Ljava/util/List;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
318,android.bluetooth.BluetoothDevice,getType,Landroid/bluetooth/BluetoothDevice;.getType:()I,Required to be able to connect to paired Bluetooth devices.
319,android.bluetooth.BluetoothHidDevice,getUserAppName,,Required to be able to connect to paired Bluetooth devices.
320,android.telecom.TelecomManager,getUserSelectedOutgoingPhoneAccount,Landroid/telecom/TelecomManager;.getUserSelectedOutgoingPhoneAccount:()Landroid/telecom/PhoneAccountHandle;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
321,android.bluetooth.BluetoothAdapter,getUuids,,Required to be able to connect to paired Bluetooth devices.
322,android.bluetooth.BluetoothDevice,getUuids,Landroid/bluetooth/BluetoothDevice;.getUuids:()[Landroid/os/ParcelUuid;,Required to be able to connect to paired Bluetooth devices.
323,android.telephony.TelephonyManager,getVoiceMailAlphaTag,Landroid/telephony/TelephonyManager;.getVoiceMailAlphaTag:()Ljava/lang/String;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
324,android.telephony.TelephonyManager,getVoiceMailNumber,Landroid/telephony/TelephonyManager;.getVoiceMailNumber:()Ljava/lang/String;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
325,android.telecom.TelecomManager,getVoiceMailNumber,Landroid/telecom/TelecomManager;.getVoiceMailNumber:(Landroid/telecom/PhoneAccountHandle;)Ljava/lang/String;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
326,android.telephony.TelephonyManager,getVoiceMessageCount,,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
327,android.telephony.TelephonyManager,getVoiceNetworkType,Landroid/telephony/TelephonyManager;.getVoiceNetworkType:()I,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
328,android.bluetooth.BluetoothHeadsetClient,holdCall,,Required to be able to connect to paired Bluetooth devices.
329,android.bluetooth.BluetoothA2dp,isA2dpPlaying,Landroid/bluetooth/BluetoothA2dp;.isA2dpPlaying:(Landroid/bluetooth/BluetoothDevice;)Z,Required to be able to connect to paired Bluetooth devices.
330,android.telephony.SubscriptionManager,isActiveSubscriptionId,Landroid/telephony/SubscriptionManager;.isActiveSubscriptionId:(I)Z,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
331,android.bluetooth.BluetoothHeadset,isAudioConnected,Landroid/bluetooth/BluetoothHeadset;.isAudioConnected:(Landroid/bluetooth/BluetoothDevice;)Z,Required to be able to connect to paired Bluetooth devices.
332,android.bluetooth.BluetoothDevice,isBondingInitiatedLocally,,Required to be able to connect to paired Bluetooth devices.
333,android.hardware.camera2.CameraManager,isConcurrentSessionConfigurationSupported,Landroid/hardware/camera2/CameraManager;.isConcurrentSessionConfigurationSupported:(Ljava/util/Map;)Z,"Required to be able to access the camera device. This will automatically  enforce the uses-feature manifest element for all camera features. If you do  not require all camera features or can properly operate if a camera is not  available, then you must modify your manifest as appropriate in order to  install on devices that don't support all camera features"
334,android.bluetooth.BluetoothMap,isConnected,,Required to be able to connect to paired Bluetooth devices.
335,android.bluetooth.BluetoothDevice,isConnected,,Required to be able to connect to paired Bluetooth devices.
336,android.bluetooth.BluetoothAdapter,isDiscovering,Landroid/bluetooth/BluetoothAdapter;.isDiscovering:()Z,Required to be able to discover and pair nearby Bluetooth devices.
337,android.bluetooth.BluetoothDevice,isEncrypted,,Required to be able to connect to paired Bluetooth devices.
338,android.telecom.TelecomManager,isInCall,Landroid/telecom/TelecomManager;.isInCall:()Z,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
339,android.telecom.TelecomManager,isInManagedCall,Landroid/telecom/TelecomManager;.isInManagedCall:()Z,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
340,android.bluetooth.BluetoothHeadset,isNoiseReductionSupported,,Required to be able to connect to paired Bluetooth devices.
341,android.telecom.TelecomManager,isRinging,,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
342,android.telecom.TelecomManager,isTtySupported,Landroid/telecom/TelecomManager;.isTtySupported:()Z,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
343,android.telephony.TelephonyManager,isVisualVoicemailEnabled,,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
344,android.telephony.PhoneNumberUtils,isVoiceMailNumber,Landroid/telephony/PhoneNumberUtils;.isVoiceMailNumber:(Ljava/lang/String;)Z,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
345,android.telecom.TelecomManager,isVoiceMailNumber,Landroid/telecom/TelecomManager;.isVoiceMailNumber:(Landroid/telecom/PhoneAccountHandle;Ljava/lang/String;)Z,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
346,android.bluetooth.BluetoothHeadset,isVoiceRecognitionSupported,,Required to be able to connect to paired Bluetooth devices.
347,android.telephony.TelephonyManager,listen,Landroid/telephony/TelephonyManager;.listen:(Landroid/telephony/PhoneStateListener;I)V,
348,android.bluetooth.BluetoothAdapter,listenUsingEncryptedRfcommWithServiceRecord,,Required to be able to connect to paired Bluetooth devices.
349,android.bluetooth.BluetoothAdapter,listenUsingInsecureL2capChannel,Landroid/bluetooth/BluetoothAdapter;.listenUsingInsecureL2capChannel:()Landroid/bluetooth/BluetoothServerSocket;,Required to be able to connect to paired Bluetooth devices.
350,android.bluetooth.BluetoothAdapter,listenUsingInsecureRfcommWithServiceRecord,Landroid/bluetooth/BluetoothAdapter;.listenUsingInsecureRfcommWithServiceRecord:(Ljava/lang/String;Ljava/util/UUID;)Landroid/bluetooth/BluetoothServerSocket;,Required to be able to connect to paired Bluetooth devices.
351,android.bluetooth.BluetoothAdapter,listenUsingL2capChannel,Landroid/bluetooth/BluetoothAdapter;.listenUsingL2capChannel:()Landroid/bluetooth/BluetoothServerSocket;,Required to be able to connect to paired Bluetooth devices.
352,android.bluetooth.BluetoothAdapter,listenUsingRfcommWithServiceRecord,Landroid/bluetooth/BluetoothAdapter;.listenUsingRfcommWithServiceRecord:(Ljava/lang/String;Ljava/util/UUID;)Landroid/bluetooth/BluetoothServerSocket;,Required to be able to connect to paired Bluetooth devices.
353,android.provider.ContactsContract$Contacts,lookupContact,Landroid/provider/ContactsContract$Contacts;.lookupContact:(Landroid/content/ContentResolver;Landroid/net/Uri;)Landroid/net/Uri;,Allows an application  to read the user's contacts dat
354,android.telephony.PhoneStateListener,onCallStateChanged,Landroid/telephony/PhoneStateListener;.onCallStateChanged:(ILjava/lang/String;)V,"Allows an application  to read the user's call log. Note: If your app uses the READ_CONTACTS  permission and both your minSdkVersion and targetSdkVersion values are set to  15 or lower, the system implicitly grants your app this permission. If you  don't need this permission, be sure your targetSdkVersion is 16 or higher"
355,android.telephony.PhoneStateListener,onCellInfoChanged,Landroid/telephony/PhoneStateListener;.onCellInfoChanged:(Ljava/util/List;)V,"Allows an app to access approximate location. Alternatively, you might  want ACCESS_FINE_LOCATION"
356,android.telephony.PhoneStateListener,onCellLocationChanged,Landroid/telephony/PhoneStateListener;.onCellLocationChanged:(Landroid/telephony/CellLocation;)V,"Allows an app to access approximate location. Alternatively, you might  want ACCESS_FINE_LOCATION"
357,android.webkit.WebChromeClient,onGeolocationPermissionsShowPrompt,Landroid/webkit/WebChromeClient;.onGeolocationPermissionsShowPrompt:(Ljava/lang/String;Landroid/webkit/GeolocationPermissions$Callback;)V,
358,android.location.LocationListener,onLocationChanged,Landroid/location/LocationListener;.onLocationChanged:(Landroid/location/Location;)V,
359,android.telephony.PhoneStateListener,onOtaspChanged,,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
360,android.telephony.TelephonyScanManager$NetworkScanCallback,onResults,Landroid/telephony/TelephonyScanManager$NetworkScanCallback;.onResults:(Ljava/util/List;)V,"Allows an app to access approximate location. Alternatively, you might  want ACCESS_FINE_LOCATION"
361,android.telephony.PhoneStateListener,onServiceStateChanged,Landroid/telephony/PhoneStateListener;.onServiceStateChanged:(Landroid/telephony/ServiceState;)V,"Allows an app to access approximate location. Alternatively, you might  want ACCESS_FINE_LOCATION"
362,android.hardware.camera2.CameraManager,openCamera,Landroid/hardware/camera2/CameraManager;.openCamera:(Ljava/lang/String;Landroid/hardware/camera2/CameraDevice$StateCallback;Landroid/os/Handler;)V,"Required to be able to access the camera device. This will automatically  enforce the uses-feature manifest element for all camera features. If you do  not require all camera features or can properly operate if a camera is not  available, then you must modify your manifest as appropriate in order to  install on devices that don't support all camera features"
363,android.hardware.camera2.CameraManager,openCamera,Landroid/hardware/camera2/CameraManager;.openCamera:(Ljava/lang/String;Ljava/util/concurrent/Executor;Landroid/hardware/camera2/CameraDevice$StateCallback;)V,"Required to be able to access the camera device. This will automatically  enforce the uses-feature manifest element for all camera features. If you do  not require all camera features or can properly operate if a camera is not  available, then you must modify your manifest as appropriate in order to  install on devices that don't support all camera features"
364,android.hardware.camera2.CameraManager,openCameraDeviceUserAsync,,"Required to be able to access the camera device. This will automatically  enforce the uses-feature manifest element for all camera features. If you do  not require all camera features or can properly operate if a camera is not  available, then you must modify your manifest as appropriate in order to  install on devices that don't support all camera features"
365,android.provider.ContactsContract$Contacts,openContactPhotoInputStream,Landroid/provider/ContactsContract$Contacts;.openContactPhotoInputStream:(Landroid/content/ContentResolver;Landroid/net/Uri;)Ljava/io/InputStream;,Allows an application  to read the user's contacts dat
366,android.provider.ContactsContract$Contacts,openContactPhotoInputStream,Landroid/provider/ContactsContract$Contacts;.openContactPhotoInputStream:(Landroid/content/ContentResolver;Landroid/net/Uri;Z)Ljava/io/InputStream;,Allows an application  to read the user's contacts dat
367,android.bluetooth.BluetoothManager,openGattServer,Landroid/bluetooth/BluetoothManager;.openGattServer:(Landroid/content/Context;Landroid/bluetooth/BluetoothGattServerCallback;)Landroid/bluetooth/BluetoothGattServer;,Required to be able to connect to paired Bluetooth devices.
368,android.uwb.UwbManager,openRangingSession,,Required to be able to range to devices using ultra-wideband.
369,android.media.MediaRecorder,pause,Landroid/media/MediaRecorder;.pause:()V,Allows an application to record audio
370,android.hardware.location.GeofenceHardware,pauseGeofence,,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
371,android.telecom.TelecomManager,placeCall,Landroid/telecom/TelecomManager;.placeCall:(Landroid/net/Uri;Landroid/os/Bundle;)V,Allows an application to initiate a phone call without going throughthe  Dialer user interface for the user to confirm the call
372,android.media.MediaRecorder,prepare,Landroid/media/MediaRecorder;.prepare:()V,Allows an application to record audio
373,android.net.wifi.aware.WifiAwareSession,publish,Landroid/net/wifi/aware/WifiAwareSession;.publish:(Landroid/net/wifi/aware/PublishConfig;Landroid/net/wifi/aware/DiscoverySessionCallback;Landroid/os/Handler;)V,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
374,android.content.pm.PackageManager,queryIntentActivities,Landroid/content/pm/PackageManager;.queryIntentActivities:(Landroid/content/Intent;I)Ljava/util/List;,"Allows query of any normal app on the device, regardless of manifest declarations."
375,android.media.AudioRecord,read,Landroid/media/AudioRecord;.read:(Ljava/nio/ByteBuffer;I)I,Allows an application to record audio
376,android.media.AudioRecord,read,Landroid/media/AudioRecord;.read:(Ljava/nio/ByteBuffer;II)I,Allows an application to record audio
377,android.media.AudioRecord,read,Landroid/media/AudioRecord;.read:([BII)I,Allows an application to record audio
378,android.media.AudioRecord,read,Landroid/media/AudioRecord;.read:([BIII)I,Allows an application to record audio
379,android.media.AudioRecord,read,Landroid/media/AudioRecord;.read:([FIII)I,Allows an application to record audio
380,android.media.AudioRecord,read,Landroid/media/AudioRecord;.read:([SII)I,Allows an application to record audio
381,android.media.AudioRecord,read,Landroid/media/AudioRecord;.read:([SIII)I,Allows an application to record audio
382,android.bluetooth.BluetoothGatt,readDescriptor,Landroid/bluetooth/BluetoothGatt;.readDescriptor:(Landroid/bluetooth/BluetoothGattDescriptor;)Z,Required to be able to connect to paired Bluetooth devices.
383,android.hardware.location.GeofenceHardware,registerForMonitorStateChangeCallback,,Allows an app to access precise location. Alternatively you might want  ACCESS_COARSE_LOCATION
384,android.location.LocationManager,registerGnssMeasurementsCallback,Landroid/location/LocationManager;.registerGnssMeasurementsCallback:(Landroid/location/GnssMeasurementsEvent$Callback;)Z,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
385,android.location.LocationManager,registerGnssMeasurementsCallback,Landroid/location/LocationManager;.registerGnssMeasurementsCallback:(Landroid/location/GnssMeasurementsEvent$Callback;Landroid/os/Handler;)Z,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
386,android.location.LocationManager,registerGnssMeasurementsCallback,Landroid/location/LocationManager;.registerGnssMeasurementsCallback:(Ljava/util/concurrent/Executor;Landroid/location/GnssMeasurementsEvent$Callback;)Z,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
387,android.location.LocationManager,registerGnssNavigationMessageCallback,Landroid/location/LocationManager;.registerGnssNavigationMessageCallback:(Landroid/location/GnssNavigationMessage$Callback;)Z,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
388,android.location.LocationManager,registerGnssNavigationMessageCallback,Landroid/location/LocationManager;.registerGnssNavigationMessageCallback:(Landroid/location/GnssNavigationMessage$Callback;Landroid/os/Handler;)Z,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
389,android.location.LocationManager,registerGnssNavigationMessageCallback,Landroid/location/LocationManager;.registerGnssNavigationMessageCallback:(Ljava/util/concurrent/Executor;Landroid/location/GnssNavigationMessage$Callback;)Z,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
390,android.location.LocationManager,registerGnssStatusCallback,Landroid/location/LocationManager;.registerGnssStatusCallback:(Landroid/location/GnssStatus$Callback;)Z,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
391,android.location.LocationManager,registerGnssStatusCallback,Landroid/location/LocationManager;.registerGnssStatusCallback:(Landroid/location/GnssStatus$Callback;Landroid/os/Handler;)Z,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
392,android.location.LocationManager,registerGnssStatusCallback,Landroid/location/LocationManager;.registerGnssStatusCallback:(Ljava/util/concurrent/Executor;Landroid/location/GnssStatus$Callback;)Z,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
393,android.hardware.SensorManager,registerListener,Landroid/hardware/SensorManager;.registerListener:(Landroid/hardware/SensorEventListener;Landroid/hardware/Sensor;I)Z,
394,android.hardware.SensorManager,registerListener,Landroid/hardware/SensorManager;.registerListener:(Landroid/hardware/SensorEventListener;Landroid/hardware/Sensor;II)Z,
395,android.hardware.SensorManager,registerListener,Landroid/hardware/SensorManager;.registerListener:(Landroid/hardware/SensorEventListener;Landroid/hardware/Sensor;IILandroid/os/Handler;)Z,
396,android.hardware.SensorManager,registerListener,Landroid/hardware/SensorManager;.registerListener:(Landroid/hardware/SensorEventListener;Landroid/hardware/Sensor;ILandroid/os/Handler;)Z,
397,android.hardware.SensorManager,registerListener,Landroid/hardware/SensorManager;.registerListener:(Landroid/hardware/SensorListener;I)Z,
398,android.hardware.SensorManager,registerListener,Landroid/hardware/SensorManager;.registerListener:(Landroid/hardware/SensorListener;II)Z,
399,android.bluetooth.BluetoothHealth,registerSinkAppConfiguration,Landroid/bluetooth/BluetoothHealth;.registerSinkAppConfiguration:(Ljava/lang/String;ILandroid/bluetooth/BluetoothHealthCallback;)Z,Required to be able to connect to paired Bluetooth devices.
400,android.bluetooth.le.PeriodicAdvertisingManager,registerSync,,Required to be able to discover and pair nearby Bluetooth devices.
401,android.bluetooth.BluetoothHeadsetClient,rejectCall,,Required to be able to connect to paired Bluetooth devices.
402,android.media.MediaRecorder,release,Landroid/media/MediaRecorder;.release:()V,Allows an application to record audio
403,android.media.AudioRecord,release,Landroid/media/AudioRecord;.release:()V,Allows an application to record audio
404,android.bluetooth.BluetoothDevice,removeBond,,Required to be able to connect to paired Bluetooth devices.
405,android.hardware.location.GeofenceHardware,removeGeofence,,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
406,android.location.LocationManager,removeProximityAlert,Landroid/location/LocationManager;.removeProximityAlert:(Landroid/app/PendingIntent;)V,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
407,android.bluetooth.BluetoothHidDevice,replyReport,Landroid/bluetooth/BluetoothHidDevice;.replyReport:(Landroid/bluetooth/BluetoothDevice;BB[B)Z,Required to be able to connect to paired Bluetooth devices.
408,android.telephony.TelephonyManager,requestCellInfoUpdate,Landroid/telephony/TelephonyManager;.requestCellInfoUpdate:(Ljava/util/concurrent/Executor;Landroid/telephony/TelephonyManager$CellInfoCallback;)V,"Allows an app to access approximate location. Alternatively, you might  want ACCESS_FINE_LOCATION"
409,android.bluetooth.BluetoothGatt,requestConnectionPriority,Landroid/bluetooth/BluetoothGatt;.requestConnectionPriority:(I)Z,Required to be able to connect to paired Bluetooth devices.
410,android.bluetooth.BluetoothGatt,requestLeConnectionUpdate,,Required to be able to connect to paired Bluetooth devices.
411,android.location.LocationManager,requestLocationUpdates,Landroid/location/LocationManager;.requestLocationUpdates:(JFLandroid/location/Criteria;Landroid/app/PendingIntent;)V,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
412,android.location.LocationManager,requestLocationUpdates,Landroid/location/LocationManager;.requestLocationUpdates:(JFLandroid/location/Criteria;Landroid/location/LocationListener;Landroid/os/Looper;)V,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
413,android.location.LocationManager,requestLocationUpdates,Landroid/location/LocationManager;.requestLocationUpdates:(JFLandroid/location/Criteria;Ljava/util/concurrent/Executor;Landroid/location/LocationListener;)V,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
